run_id,executed_at,anomalies_found,stock_negativo,reservas_fantasma,action_taken
RUN00001,2026-03-01 09:00:00,11,False,4,none
RUN00002,2026-03-01 10:00:00,3,False,3,alert
RUN00003,2026-03-01 11:00:00,3,False,0,none
RUN00004,2026-03-01 12:00:00,5,False,3,none
RUN00005,2026-03-01 13:00:00,0,False,3,alert
RUN00006,2026-03-01 14:00:00,2,False,1,none
RUN00007,2026-03-01 15:00:00,2,False,2,none
RUN00008,2026-03-01 16:00:00,2,False,2,alert
RUN00009,2026-03-01 17:00:00,7,False,4,alert
RUN00010,2026-03-01 18:00:00,1,False,2,rollback
RUN00011,2026-03-01 19:00:00,1,False,4,rollback
RUN00012,2026-03-01 20:00:00,2,False,2,rollback
RUN00013,2026-03-01 21:00:00,5,False,4,none
RUN00014,2026-03-01 22:00:00,12,False,3,rollback
RUN00015,2026-03-01 23:00:00,0,False,3,rollback
RUN00016,2026-03-02 00:00:00,4,False,3,none
RUN00017,2026-03-02 01:00:00,10,False,4,none
RUN00018,2026-03-02 02:00:00,10,False,2,rollback
RUN00019,2026-03-02 03:00:00,12,False,4,rollback
RUN00020,2026-03-02 04:00:00,12,False,3,none
RUN00021,2026-03-02 05:00:00,10,False,0,alert
RUN00022,2026-03-02 06:00:00,0,False,2,alert
RUN00023,2026-03-02 07:00:00,6,False,4,rollback
RUN00024,2026-03-02 08:00:00,8,False,0,rollback
RUN00025,2026-03-02 09:00:00,10,False,0,alert
RUN00026,2026-03-02 10:00:00,4,False,0,none
RUN00027,2026-03-02 11:00:00,0,False,2,alert
RUN00028,2026-03-02 12:00:00,6,False,1,none
RUN00029,2026-03-02 13:00:00,5,False,1,none
RUN00030,2026-03-02 14:00:00,4,False,0,none
RUN00031,2026-03-02 15:00:00,0,False,0,none
RUN00032,2026-03-02 16:00:00,9,False,4,alert
RUN00033,2026-03-02 17:00:00,0,False,3,alert
RUN00034,2026-03-02 18:00:00,4,False,1,none
RUN00035,2026-03-02 19:00:00,2,False,1,none
RUN00036,2026-03-02 20:00:00,6,False,2,alert
RUN00037,2026-03-02 21:00:00,8,False,3,none
RUN00038,2026-03-02 22:00:00,0,False,0,alert
RUN00039,2026-03-02 23:00:00,10,False,0,alert
RUN00040,2026-03-03 00:00:00,9,False,4,rollback
RUN00041,2026-03-03 01:00:00,1,False,4,rollback
RUN00042,2026-03-03 02:00:00,1,False,3,rollback
RUN00043,2026-03-03 03:00:00,0,False,1,rollback
RUN00044,2026-03-03 04:00:00,5,False,4,none
RUN00045,2026-03-03 05:00:00,2,False,1,alert
RUN00046,2026-03-03 06:00:00,0,False,4,rollback
RUN00047,2026-03-03 07:00:00,2,True,3,none
RUN00048,2026-03-03 08:00:00,8,False,0,rollback
RUN00049,2026-03-03 09:00:00,3,False,0,none
RUN00050,2026-03-03 10:00:00,7,False,4,none
RUN00051,2026-03-03 11:00:00,11,False,0,alert
RUN00052,2026-03-03 12:00:00,2,False,4,alert
RUN00053,2026-03-03 13:00:00,4,False,2,rollback
RUN00054,2026-03-03 14:00:00,1,False,3,none
RUN00055,2026-03-03 15:00:00,3,False,0,none
RUN00056,2026-03-03 16:00:00,0,False,1,none
RUN00057,2026-03-03 17:00:00,8,False,1,none
RUN00058,2026-03-03 18:00:00,8,False,4,rollback
RUN00059,2026-03-03 19:00:00,5,False,3,alert
RUN00060,2026-03-03 20:00:00,10,False,2,alert
RUN00061,2026-03-03 21:00:00,3,False,0,alert
RUN00062,2026-03-03 22:00:00,4,False,1,none
RUN00063,2026-03-03 23:00:00,0,False,2,rollback
RUN00064,2026-03-04 00:00:00,3,False,3,rollback
RUN00065,2026-03-04 01:00:00,10,True,3,alert
RUN00066,2026-03-04 02:00:00,1,False,3,alert
RUN00067,2026-03-04 03:00:00,5,False,0,rollback
RUN00068,2026-03-04 04:00:00,12,False,1,none
RUN00069,2026-03-04 05:00:00,2,False,2,alert
RUN00070,2026-03-04 06:00:00,10,False,2,alert
RUN00071,2026-03-04 07:00:00,3,False,1,rollback
RUN00072,2026-03-04 08:00:00,7,False,1,alert
RUN00073,2026-03-04 09:00:00,3,False,4,alert
RUN00074,2026-03-04 10:00:00,1,False,2,none
RUN00075,2026-03-04 11:00:00,8,False,0,none
RUN00076,2026-03-04 12:00:00,7,False,3,alert
RUN00077,2026-03-04 13:00:00,9,False,2,none
RUN00078,2026-03-04 14:00:00,0,False,1,rollback
RUN00079,2026-03-04 15:00:00,3,False,2,alert
RUN00080,2026-03-04 16:00:00,10,False,1,rollback
RUN00081,2026-03-04 17:00:00,5,False,1,rollback
RUN00082,2026-03-04 18:00:00,4,False,4,alert
RUN00083,2026-03-04 19:00:00,8,False,2,rollback
RUN00084,2026-03-04 20:00:00,4,False,0,rollback
RUN00085,2026-03-04 21:00:00,1,False,1,rollback
RUN00086,2026-03-04 22:00:00,9,False,4,none
RUN00087,2026-03-04 23:00:00,4,True,0,alert
RUN00088,2026-03-05 00:00:00,6,False,3,none
RUN00089,2026-03-05 01:00:00,5,False,3,rollback
RUN00090,2026-03-05 02:00:00,2,False,2,none
RUN00091,2026-03-05 03:00:00,7,False,1,alert
RUN00092,2026-03-05 04:00:00,7,False,4,none
RUN00093,2026-03-05 05:00:00,11,False,1,alert
RUN00094,2026-03-05 06:00:00,0,False,0,rollback
RUN00095,2026-03-05 07:00:00,6,False,4,alert
RUN00096,2026-03-05 08:00:00,5,False,1,none
RUN00097,2026-03-05 09:00:00,9,False,2,none
RUN00098,2026-03-05 10:00:00,0,False,0,rollback
RUN00099,2026-03-05 11:00:00,8,False,4,none
RUN00100,2026-03-05 12:00:00,8,False,4,none
RUN00101,2026-03-05 13:00:00,9,False,0,alert
RUN00102,2026-03-05 14:00:00,10,False,2,alert
RUN00103,2026-03-05 15:00:00,12,False,4,rollback
RUN00104,2026-03-05 16:00:00,11,False,2,rollback
RUN00105,2026-03-05 17:00:00,7,False,0,none
RUN00106,2026-03-05 18:00:00,1,False,4,none
RUN00107,2026-03-05 19:00:00,11,False,3,alert
RUN00108,2026-03-05 20:00:00,6,False,2,none
RUN00109,2026-03-05 21:00:00,11,False,1,none
RUN00110,2026-03-05 22:00:00,7,False,2,alert
RUN00111,2026-03-05 23:00:00,8,False,2,none
RUN00112,2026-03-06 00:00:00,10,False,1,none
RUN00113,2026-03-06 01:00:00,1,False,4,rollback
RUN00114,2026-03-06 02:00:00,2,False,3,alert
RUN00115,2026-03-06 03:00:00,3,False,2,alert
RUN00116,2026-03-06 04:00:00,0,False,4,none
RUN00117,2026-03-06 05:00:00,10,False,2,alert
RUN00118,2026-03-06 06:00:00,11,False,0,alert
RUN00119,2026-03-06 07:00:00,3,False,1,rollback
RUN00120,2026-03-06 08:00:00,9,False,2,none
RUN00121,2026-03-06 09:00:00,1,False,3,none
RUN00122,2026-03-06 10:00:00,7,False,0,rollback
RUN00123,2026-03-06 11:00:00,5,False,0,rollback
RUN00124,2026-03-06 12:00:00,0,False,3,alert
RUN00125,2026-03-06 13:00:00,6,False,1,alert
RUN00126,2026-03-06 14:00:00,7,False,3,alert
RUN00127,2026-03-06 15:00:00,2,False,1,alert
RUN00128,2026-03-06 16:00:00,6,False,0,alert
RUN00129,2026-03-06 17:00:00,7,False,2,rollback
RUN00130,2026-03-06 18:00:00,3,False,4,rollback
RUN00131,2026-03-06 19:00:00,12,False,0,rollback
RUN00132,2026-03-06 20:00:00,9,False,0,alert
RUN00133,2026-03-06 21:00:00,0,False,4,alert
RUN00134,2026-03-06 22:00:00,11,False,1,rollback
RUN00135,2026-03-06 23:00:00,8,False,1,alert
RUN00136,2026-03-07 00:00:00,6,False,1,none
RUN00137,2026-03-07 01:00:00,7,False,4,alert
RUN00138,2026-03-07 02:00:00,6,False,2,rollback
RUN00139,2026-03-07 03:00:00,1,False,3,rollback
RUN00140,2026-03-07 04:00:00,11,False,1,rollback
RUN00141,2026-03-07 05:00:00,3,False,4,alert
RUN00142,2026-03-07 06:00:00,7,False,1,none
RUN00143,2026-03-07 07:00:00,4,False,1,alert
RUN00144,2026-03-07 08:00:00,6,False,4,none
