order_id,seller_id,store_id,status,total_amount,reservation_id,created_at
ORD000001,SELLER100,WH018,CONFIRMED,815.55,,2026-03-01 08:00:17
ORD000002,SELLER098,WH010,PENDING,2769.69,RSV000802,2026-03-01 08:00:34
ORD000003,SELLER024,WH011,PENDING,2282.81,RSV007355,2026-03-01 08:00:51
ORD000004,SELLER108,WH016,CONFIRMED,2739.70,RSV005450,2026-03-01 08:01:08
ORD000005,SELLER067,WH010,CONFIRMED,1092.32,,2026-03-01 08:01:25
ORD000006,SELLER030,WH022,CONFIRMED,1392.21,RSV018007,2026-03-01 08:01:42
ORD000007,SELLER069,WH018,CONFIRMED,2153.66,RSV001610,2026-03-01 08:01:59
ORD000008,SELLER112,WH019,CONFIRMED,624.45,RSV014880,2026-03-01 08:02:16
ORD000009,SELLER040,WH014,CONFIRMED,1893.38,,2026-03-01 08:02:33
ORD000010,SELLER048,WH017,CONFIRMED,507.35,RSV015835,2026-03-01 08:02:50
ORD000011,SELLER052,WH025,CANCELLED,1034.04,RSV014481,2026-03-01 08:03:07
ORD000012,SELLER062,WH006,PENDING,768.23,RSV012043,2026-03-01 08:03:24
ORD000013,SELLER039,WH015,CONFIRMED,490.62,RSV018420,2026-03-01 08:03:41
ORD000014,SELLER043,WH004,CONFIRMED,829.90,RSV019498,2026-03-01 08:03:58
ORD000015,SELLER069,WH028,CANCELLED,637.29,RSV011456,2026-03-01 08:04:15
ORD000016,SELLER066,WH014,CONFIRMED,1609.36,,2026-03-01 08:04:32
ORD000017,SELLER063,WH017,PENDING,2305.67,RSV009888,2026-03-01 08:04:49
ORD000018,SELLER058,WH001,CONFIRMED,174.07,RSV003013,2026-03-01 08:05:06
ORD000019,SELLER088,WH023,CONFIRMED,485.76,RSV004278,2026-03-01 08:05:23
ORD000020,SELLER029,WH008,PENDING,474.79,RSV017853,2026-03-01 08:05:40
ORD000021,SELLER100,WH007,CONFIRMED,2978.07,RSV008074,2026-03-01 08:05:57
ORD000022,SELLER110,WH007,CONFIRMED,541.68,,2026-03-01 08:06:14
ORD000023,SELLER100,WH016,CONFIRMED,74.43,RSV009336,2026-03-01 08:06:31
ORD000024,SELLER061,WH022,CONFIRMED,1504.45,RSV005929,2026-03-01 08:06:48
ORD000025,SELLER009,WH019,CONFIRMED,2205.68,RSV008871,2026-03-01 08:07:05
ORD000026,SELLER058,WH004,CONFIRMED,1087.34,,2026-03-01 08:07:22
ORD000027,SELLER042,WH017,CONFIRMED,1228.16,,2026-03-01 08:07:39
ORD000028,SELLER060,WH005,PENDING,1656.96,,2026-03-01 08:07:56
ORD000029,SELLER025,WH024,CONFIRMED,2940.63,,2026-03-01 08:08:13
ORD000030,SELLER091,WH017,CONFIRMED,2945.96,RSV000800,2026-03-01 08:08:30
ORD000031,SELLER032,WH021,CONFIRMED,2991.32,RSV009532,2026-03-01 08:08:47
ORD000032,SELLER060,WH023,CONFIRMED,2446.92,RSV018495,2026-03-01 08:09:04
ORD000033,SELLER052,WH002,CONFIRMED,388.12,,2026-03-01 08:09:21
